k, k, k, k, k, k, k, k, k, k, k, k, k, k, k, k, k, k, k, k, k, k, k, k, k, k, k, k, k, k, k, k, k, k
p, p, k, p, p, k, p, p, k, p, p, k, p, p, k, p, p, k, p, p, k, p, p, k, p, p, k, p, p, k, p, p, p, p
k, k, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, k
p, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, p, p
k, k, k, k, k, k, k, k, k, k, k, k, k, k, k, k, k, k, k, k, k, k, k, k, k, k, k, k, k, k, k, k, k, k
p, p, k, p, p, k, p, p, k, p, p, k, p, p, k, p, p, k, p, p, k, p, p, k, p, p, k, p, p, k, p, p, p, p
k, k, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, k
p, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, p, p
k, k, k, k, k, k, k, k, k, k, k, k, k, k, k, k, k, k, k, k, k, k, k, k, k, k, k, k, k, k, k, k, k, k
p, p, k, p, p, k, p, p, k, p, p, k, p, p, k, p, p, k, p, p, k, p, p, k, p, p, k, p, p, k, p, p, p, p
k, k, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, k
p, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, p, p

k, k, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, k
p, p, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, p
k, k, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, k
p, p, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, p
k, k, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, k
p, p, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, p
k, k, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, k
p, p, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, p
k, k, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, k
p, p, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, p
k, k, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, k
p, p, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, p
k, k, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, k
p, p, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, k, p, p
